SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
ABSLFTTIDG,Aditya Birla Sun Life FTP- Series TI (1837 days)- DP-G,MF,06-JUL-2021,10,1,INF209KB12A2,10
ABSLFTTIDN,Aditya Birla Sun Life FTP- Series TI (1837 days)-DP-IDCW,MF,06-JUL-2021,10,1,INF209KB13A0,10
ABSLFTTIRG,Aditya Birla Sun Life FTP- Series TI (1837 days)-RP-G,MF,06-JUL-2021,10,1,INF209KB10A6,10
ABSLFTTIRN,Aditya Birla Sun Life FTP- Series TI (1837 days)-RP-IDCW,MF,06-JUL-2021,10,1,INF209KB11A4,10
ABSLFTTJDG,Aditya Birla Sun Life FTP - Series TJ (1838 days)-DP-G,MF,26-JUL-2021,10,1,INF209KB16A3,10
ABSLFTTJDN,Aditya Birla Sun Life FTP - Series TJ (1838 days)-DP-IDCW,MF,26-JUL-2021,10,1,INF209KB17A1,10
ABSLFTTJRG,Aditya Birla Sun Life FTP - Series TJ (1838 days)-RP-G,MF,26-JUL-2021,10,1,INF209KB14A8,10
ABSLFTTJRN,Aditya Birla Sun Life FTP- Series TJ (1838 days)-RP-IDCW,MF,26-JUL-2021,10,1,INF209KB15A5,10
ABSLFTTQDG,Aditya Birla Sun Life Mutual Fund - ABSL FTP Sr TQ 1879 days-DP-G,MF,31-MAR-2022,10,1,INF209KB14H3,10
ABSLFTTQDN,Aditya Birla Sun Life Mutual Fund - ABSL FTP Sr TQ 1879 days-DP-IDCW,MF,31-MAR-2022,10,1,INF209KB15H0,10
ABSLFTTQRG,Aditya Birla Sun Life Mutual Fund - ABSL FTP Sr TQ 1879 days-RP-G,MF,31-MAR-2022,10,1,INF209KB12H7,10
ABSLFTTQRN,Aditya Birla Sun Life Mutual Fund - ABSL FTP Sr TQ 1879 days-RP-IDCW,MF,31-MAR-2022,10,1,INF209KB13H5,10
ABSLFTUBDG,Aditya Birla Sun Life Mutual Fund - ABSL FTP - Sr UB (1224D) -DP-G,MF,22-DEC-2022,10,1,INF209KB18P7,10
ABSLFTUBRG,Aditya Birla Sun Life Mutual Fund - ABSL FTP - Sr UB (1224D) -RP-G,MF,22-DEC-2022,10,1,INF209KB16P1,10
ABSLFTUBRN,Aditya Birla Sun Life Mutual Fund - ABSL FTP - Sr UB (1224D) -RP-IDCWP,MF,22-DEC-2022,10,1,INF209KB17P9,10
